Year,Unemployment Rate
2000,5.57515
2001,5.01319
2002,5.132106
2003,4.966743
2004,4.690948
2005,4.74926
2006,5.348789
2007,5.262478
2008,5.61258
2009,7.536723
2010,7.786648
2011,8.036335
2012,7.887593
2013,7.534938
2014,6.114832
